"","x"
"529",24778.279297
"530",24902.060547
"531",24823.289063
"532",24887.439453
"533",24702.779297
"534",24465.380859
"535",24193.039063
"536",24164
"537",24123.050781
"538",23896.980469
"539",23717.970703
"540",23797.960938
"541",23823.210938
"542",23949.550781
"543",23901.490234
"544",24120.080078
"545",24468.890625
"546",24375.240234
"547",24494.509766
"548",24399.599609
"549",24528.230469
"550",24497.080078
"551",24486.199219
"552",24855.119141
"553",24900.890625
"554",25082.75
"555",25275.640625
"556",26236.859375
"557",26944.390625
"558",27272.390625
"559",28016.339844
"560",27561.490234
"561",27618.820313
"562",27739.710938
"563",27653.119141
"564",27094.929688
"565",27850.490234
"566",27933.849609
"567",27827.699219
"568",28060.980469
"569",28433.589844
"570",28442.75
"571",28400.339844
"572",28133
"573",28123.820313
"574",27755.539063
"575",27640.910156
"576",27289.970703
"577",27577.339844
"578",27718.199219
"579",27407.179688
"580",27249.279297
"581",27286.550781
"582",27822.279297
"583",27591.25
"584",27693.539063
"585",27585.050781
"586",27523.720703
"587",27992.830078
"588",28249.859375
"589",28081.210938
"590",27454.310547
"591",27424.189453
"592",27597.160156
"593",27466.720703
"594",27657.470703
"595",27551.890625
"596",27260.160156
"597",27316.279297
"598",26989.519531
"599",26687.640625
"600",26907.849609
"601",27280.539063
"602",26861.810547
"603",26566.699219
"604",26753.789063
"605",26694.660156
"606",26760.529297
"607",27080.849609
"608",27333.460938
"609",27404.970703
"610",27145.75
"611",26663.869141
"612",25966.980469
"613",26250.029297
"614",26282.320313
"615",26064.109375
"616",25236.279297
"617",24975.310547
"618",23516.560547
"619",24392.789063
"620",24901.279297
"621",25224.009766
"622",25120.910156
"623",25055.759766
"624",25162.779297
"625",25415.269531
"626",25404.810547
"627",25536.429688
"628",25282.619141
"629",25398.849609
"630",25128.509766
"631",24351.960938
"632",24503.939453
"633",24619.449219
"634",24497.980469
"635",24636.279297
"636",24411.419922
"637",24406.119141
"638",24514.160156
"639",24375.279297
"640",24552.470703
"641",24521.119141
"642",24498.210938
"643",23916.019531
"644",24018.800781
"645",23991.029297
"646",23814.650391
"647",23474.970703
"648",23167.849609
"649",22757.470703
"650",22409.619141
"651",21251.570313
"652",21404.960938
"653",21080.390625
"654",21838.539063
"655",21612.390625
"656",21670.580078
"657",21185.429688
"658",20934.939453
"659",20840.609375
